2012-04-29-11:21:02:901|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-29-11:21:03:567|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-29-11:21:03:609|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-29-11:21:03:642|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-11:21:03:742|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-29-02:05:11:951|  INFO|Load                |STARTED
2012-04-29-02:05:13:356|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-29-02:05:14:144|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-29-02:05:14:189|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-29-02:05:14:224|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:05:14:332|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-29-02:05:46:316|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:11:09:826|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:20:21:152|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:22:13:726|  INFO|Load                |STARTED
2012-04-29-02:22:15:093|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-29-02:22:15:837|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-29-02:22:15:879|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-29-02:22:15:915|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:22:16:011|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-29-02:22:28:892|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:22:38:981|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:52:36:011|  INFO|Load                |STARTED
2012-04-29-02:52:37:541|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-29-02:52:38:406|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-29-02:52:38:450|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-29-02:52:38:492|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:54:10:965|  INFO|Load                |STARTED
2012-04-29-02:54:12:383|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
2012-04-29-02:54:13:154|  INFO|ListViewDevices     |------>>>>>>> UpdatedataListViewDevices <<<<<<<<<<<---------------------
2012-04-29-02:54:13:199|  INFO|ListTriggers        |------>>>>>>> SyncdataListTriggers <<<<<<<<<<<---------------------
2012-04-29-02:54:13:236|  INFO|ListViewScenes      |------>>>>>>> SyncdataListViewScenes <<<<<<<<<<<---------------------
2012-04-29-02:54:13:350|  INFO|ScheduledTaskList   |------>>>>>>> Syned dataListTasks <<<<<<<<<<<---------------------
2012-04-29-02:59:32:857|  INFO|Load                |STARTED
2012-04-29-02:59:34:330|  INFO|HttpAPI Plugin      |HttpAPI Plugin plugin started on port 8082.
